parameter,level,value,post_labor,meaning_mean,meaning_sd,sink_mean,sink_sd,collapse_pct
noise_sigma,default,0.08,0.8,0.3823326456133286,0.008089349942746644,0.6293,0.03614045728904416,0.02
noise_sigma,-20%,0.064,0.8,0.37550717942851164,0.007611869246450599,0.6607000000000001,0.03526879293514368,0.1
noise_sigma,+20%,0.096,0.8,0.39090598601519405,0.00854903322292399,0.6003,0.03755825407256829,0.02
noise_sigma,default,0.08,0.95,0.3303418845050525,0.007761817717001507,0.7876000000000001,0.0255199001981287,1.0
noise_sigma,-20%,0.064,0.95,0.3207528847080839,0.0073411931086280755,0.8284999999999999,0.022660988684593278,1.0
noise_sigma,+20%,0.096,0.95,0.34194638633407703,0.008274701747537583,0.7437000000000001,0.026123919760890974,0.92
decay,default,0.08,0.8,0.3823326456133286,0.008089349942746644,0.6293,0.03614045728904416,0.02
decay,-20%,0.064,0.8,0.3891517369370463,0.008833673958362693,0.6061,0.03468943849152279,0.02
decay,+20%,0.096,0.8,0.3780049234388088,0.0074100768473505125,0.6481,0.03350129452265804,0.06
decay,default,0.08,0.95,0.3303418845050525,0.007761817717001507,0.7876000000000001,0.0255199001981287,1.0
decay,-20%,0.064,0.95,0.34001849949804347,0.008514617175824836,0.7486,0.027683340602947047,0.94
decay,+20%,0.096,0.95,0.32394281001149394,0.007234695363656752,0.8141000000000002,0.02394061530588737,1.0
contagion_strength,default,0.5,0.8,0.3823326456133286,0.008089349942746644,0.6293,0.03614045728904416,0.02
contagion_strength,-20%,0.4,0.8,0.39090538346556797,0.007807198138511407,0.6051,0.03554947687551041,0.02
contagion_strength,+20%,0.6,0.8,0.3730287376108222,0.008367272058005484,0.6570999999999999,0.03654868154186933,0.12
contagion_strength,default,0.5,0.95,0.3303418845050525,0.007761817717001507,0.7876000000000001,0.0255199001981287,1.0
contagion_strength,-20%,0.4,0.95,0.34070266655643894,0.007589613417971948,0.7593000000000001,0.0238406701042653,0.96
contagion_strength,+20%,0.6,0.95,0.31947630686996914,0.007991485326570872,0.8123,0.024953221541639092,1.0
