speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,baseline,15,10,0,0.68,0.37521520809350123,0.95
rapid,baseline,25,20,0,0.725,0.34467562526739776,0.95
rapid,baseline,45,40,0,0.775,0.33702156973854897,0.95
rapid,baseline,15,10,1,0.645,0.37390740048450566,0.95
rapid,baseline,25,20,1,0.74,0.3348918447852495,0.95
rapid,baseline,45,40,1,0.755,0.3376328773504527,0.95
rapid,baseline,15,10,2,0.645,0.3825588773293742,0.95
rapid,baseline,25,20,2,0.75,0.3500120667080735,0.95
rapid,baseline,45,40,2,0.83,0.3228619268820188,0.95
rapid,baseline,15,10,3,0.645,0.37790878595647626,0.95
rapid,baseline,25,20,3,0.75,0.3434540511571542,0.95
rapid,baseline,45,40,3,0.765,0.3399065683849621,0.95
rapid,baseline,15,10,4,0.62,0.3866809665985796,0.95
rapid,baseline,25,20,4,0.755,0.3456194411946285,0.95
rapid,baseline,45,40,4,0.77,0.3423204038559043,0.95
rapid,baseline,15,10,5,0.615,0.3835189433114025,0.95
rapid,baseline,25,20,5,0.655,0.3639587103996052,0.95
rapid,baseline,45,40,5,0.79,0.3163163455268246,0.95
rapid,baseline,15,10,6,0.565,0.39820804609249344,0.95
rapid,baseline,25,20,6,0.75,0.35297619326890584,0.95
rapid,baseline,45,40,6,0.785,0.3333554673748773,0.95
rapid,baseline,15,10,7,0.7,0.37150804736247134,0.95
rapid,baseline,25,20,7,0.77,0.3375059201549551,0.95
rapid,baseline,45,40,7,0.8,0.3256742086834217,0.95
rapid,baseline,15,10,8,0.71,0.36674596959556155,0.95
rapid,baseline,25,20,8,0.76,0.33846970622128425,0.95
rapid,baseline,45,40,8,0.77,0.3287821454725257,0.95
rapid,baseline,15,10,9,0.585,0.39602789432858815,0.95
rapid,baseline,25,20,9,0.73,0.35389742372071015,0.95
rapid,baseline,45,40,9,0.82,0.3216755323383629,0.95
rapid,baseline,15,10,10,0.6,0.38925703433753966,0.95
rapid,baseline,25,20,10,0.695,0.3605242554892396,0.95
rapid,baseline,45,40,10,0.785,0.33230469046531674,0.95
rapid,baseline,15,10,11,0.645,0.38011350931903265,0.95
rapid,baseline,25,20,11,0.78,0.3370298552430575,0.95
rapid,baseline,45,40,11,0.825,0.32741991685688804,0.95
rapid,baseline,15,10,12,0.63,0.3849703321076408,0.95
rapid,baseline,25,20,12,0.685,0.3590945051030348,0.95
rapid,baseline,45,40,12,0.77,0.33824534885432506,0.95
rapid,baseline,15,10,13,0.64,0.37749756772975646,0.95
rapid,baseline,25,20,13,0.725,0.35296319454680697,0.95
rapid,baseline,45,40,13,0.75,0.3369828761120183,0.95
rapid,baseline,15,10,14,0.66,0.37803156356442374,0.95
rapid,baseline,25,20,14,0.69,0.3588205915183694,0.95
rapid,baseline,45,40,14,0.8,0.33424112470277056,0.95
rapid,baseline,15,10,15,0.655,0.3663019185388097,0.95
