census_code,soc2010_set,lm_aioe,aioe,title,lm_aioe_z,aioe_z
10,11-1011,1.308912,1.334246,Chief Executives,1.3696041489971347,1.371329524242968
20,11-1021,0.6776147,0.5748773,General and Operations Managers,0.6969877553019944,0.5769766023234596
30,11-1031,,,Legislators,,
40,11-2011,1.217224,1.294387,Advertising and Promotions Managers,1.2719150698499246,1.3296342145537619
51,11-2020;11-2031,1.2935143333333334,1.2916670000000001,Marketing Managers,1.3531986883296279,1.3267889037743987
52,11-2020;11-2031,1.2935143333333334,1.2916670000000001,Sales Managers,1.3531986883296279,1.3267889037743987
60,11-2031,1.382948,1.293689,Public Relations and Fundraising Managers,1.4484858855792702,1.3289040575964106
101,11-3011;11-3021,0.8566317999999999,0.8998404,Administrative Services Managers,0.8877217188588831,0.9169107976636433
102,11-3011;11-3021,0.8566317999999999,0.8998404,Facilities Managers,0.8877217188588831,0.9169107976636433
110,11-3021,0.9450699,1.059853,Computer and Information Systems Managers,0.9819481885226219,1.084295200462886
120,11-3031,1.294551,1.446232,Financial Managers,1.3543032059551543,1.488474734881855
135,11-3111,1.466744,1.298235,Compensation and Benefits Managers,1.5377664247580025,1.3336594924504495
136,11-3121,1.359222,1.320417,Human Resources Managers,1.4232069931195512,1.3568634202842125
137,11-3131,1.336838,1.284423,Training and Development Managers,1.3993579360168644,1.319211171684065
140,11-3051,0.3542972,0.5086878,Industrial Production Managers,0.3525087738957243,0.5077377428268919
150,11-3061,1.393102,1.423426,Purchasing Managers,1.4593044759036395,1.4646180592810616
160,11-3071,0.9045479,0.8907923,"Transportation, Storage, and Distribution Managers",0.9387739796272021,0.9074458504346886
205,11-9013,-0.1584996,-0.1443684,"Farmers, Ranchers, and Other Agricultural Managers",-0.19385113341642168,-0.17540484739002224
220,11-9021,0.6361951,1.029139,Construction Managers,0.6528571975120352,1.0521662021991498
230,11-9030,1.0848625749999998,0.9255233749999999,Education and Childcare Administrators ,1.1308904458766398,0.9437769909039435
300,11-9041,0.647411,0.8370105,Architectural and Engineering Managers,0.6648071903443271,0.8511863154076449
310,11-9051,0.0614931,-0.1213112,Food Service Managers,0.04054032764836801,-0.15128539897019339
325,11-9061,0.336732,0.3719018,Funeral Home Managers,0.3337939124848901,0.3646499927291042
335,11-9071,0.7192592,0.8299207,Entertainment and Recreation Managers,0.7413579330411313,0.8437698873328179
340,11-9081,0.4639851,0.4021726,Lodging Managers,0.46937586604072984,0.3963153727070267
350,11-9111,1.314992,1.260259,Medical and Health Services Managers,1.3760820915982932,1.2939339328338688
360,11-9121,1.241343,1.327906,Natural Sciences Managers,1.2976126845863303,1.3646974395587168
400,11-9131,0.8657041,0.8233757,Postmasters and Mail Superintendents,0.8973878107438324,0.8369233582699751
410,11-9141,1.214595,1.215396,"Property, Real Estate, and Community Association Managers",1.2691139989455749,1.2470040881667461
420,11-9151,1.225244,1.156153,Social and Community Service Managers,1.280459987557374,1.1850317548940192
425,11-9161,0.901037,1.030768,Emergency Management Directors,0.9350332874103587,1.0538702504563493
426,11-9161;11-9199,0.9055008499999999,0.9977275999999999,"Personal Service Managers, All Other",0.939789301239336,1.0193076746201457
440,11-9199,0.9099647,0.9646872,"Managers, All Other",0.9445453150683134,0.9847450987839422
500,13-1011,1.247628,1.068559,"Agents and Business Managers of Artists, Performers, and Athletes",1.3043090446600607,1.0934022870971276
510,13-1021,0.736816,0.7687054,"Buyers and Purchasing Agents, Farm Products",0.7600638446628456,0.7797343899240107
520,13-1022,0.7911764,0.8188258,"Wholesale and Retail Buyers, Except Farm Products",0.8179821918628499,0.8321638437423924
530,13-1023,1.495701,1.509181,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.5686186918471063,1.5543238040914646
