meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,variant,post_labor,run_id
0.34142675549274815,0.76,0.045,0.195,0.035,0.4,0.325,0.19913212526202415,0.4212585896604547,0.95,0.46,1,ubi_pure,0.95,0
0.33987203832175017,0.76,0.02,0.22,0.035,0.405,0.32,0.21059152926566121,0.45316809019547294,0.95,0.475,1,ubi_pure,0.95,1
0.3455132252944486,0.745,0.045,0.21,0.025,0.395,0.325,0.21497255420673717,0.4487149075042033,0.95,0.47,1,ubi_pure,0.95,2
0.3449011414190252,0.745,0.025,0.23,0.03,0.395,0.32,0.207661062352856,0.4383074509238061,0.95,0.45,1,ubi_pure,0.95,3
0.3365829503148599,0.795,0.025,0.18,0.025,0.425,0.345,0.19854029997005895,0.44680236787483324,0.95,0.445,1,ubi_pure,0.95,4
0.3612143996341953,0.685,0.07,0.245,0.035,0.36,0.29,0.2291831264110433,0.4694528220381287,0.95,0.54,0,ubi_pure,0.95,5
0.34643341885997436,0.695,0.055,0.25,0.035,0.315,0.345,0.21200808252491274,0.43029952199694216,0.95,0.49,0,ubi_pure,0.95,6
0.34019416325404456,0.75,0.04,0.21,0.035,0.34,0.375,0.2073667178799915,0.45816669748132555,0.95,0.41,1,ubi_pure,0.95,7
0.33489118090283637,0.775,0.04,0.185,0.025,0.38,0.37,0.20186902395419654,0.4547247760141378,0.95,0.425,1,ubi_pure,0.95,8
0.3500715763089866,0.73,0.07,0.2,0.025,0.385,0.32,0.2224279581868036,0.474558814902243,0.95,0.46,1,ubi_pure,0.95,9
0.3252856936003322,0.8,0.02,0.18,0.025,0.365,0.41,0.18405205272606126,0.4183217372993619,0.95,0.355,1,ubi_pure,0.95,10
0.35665306865921637,0.715,0.04,0.245,0.02,0.39,0.305,0.2212741903898453,0.4581556142409176,0.95,0.525,1,ubi_pure,0.95,11
0.3560759986958786,0.705,0.04,0.255,0.03,0.355,0.32,0.22064489811502136,0.4647390947241139,0.95,0.51,1,ubi_pure,0.95,12
0.3608626104493064,0.76,0.035,0.205,0.03,0.49,0.24,0.23025102156920732,0.46174959019982836,0.95,0.535,1,ubi_pure,0.95,13
0.36613052771547333,0.645,0.05,0.305,0.03,0.34,0.275,0.22758014546939798,0.44543123866230516,0.95,0.55,0,ubi_pure,0.95,14
0.3323171264870177,0.76,0.035,0.205,0.04,0.32,0.4,0.18404328367145126,0.39564322526476814,0.95,0.405,1,ubi_pure,0.95,15
0.3321717385493123,0.815,0.02,0.165,0.03,0.42,0.365,0.1984027238425665,0.44308189685164945,0.95,0.415,1,ubi_pure,0.95,16
0.3444209377507862,0.765,0.03,0.205,0.015,0.41,0.34,0.21504934354507732,0.4508371324980586,0.95,0.455,1,ubi_pure,0.95,17
0.3356113504448466,0.785,0.025,0.19,0.0,0.365,0.42,0.2012948181134905,0.4421380531571068,0.95,0.42,1,ubi_pure,0.95,18
0.33556457103824205,0.795,0.03,0.175,0.015,0.43,0.35,0.20650936171596995,0.44593085731767546,0.95,0.42,1,ubi_pure,0.95,19
0.3449991357594078,0.715,0.045,0.24,0.02,0.325,0.37,0.2132326610620475,0.44653057180398287,0.95,0.5,1,ubi_pure,0.95,20
0.3493372427691571,0.755,0.05,0.195,0.03,0.41,0.315,0.22025471358987533,0.4592319125815956,0.95,0.495,1,ubi_pure,0.95,21
0.3566317455201083,0.725,0.06,0.215,0.015,0.41,0.3,0.2224051307289546,0.4648063400464028,0.95,0.475,1,ubi_pure,0.95,22
0.34857813265347454,0.735,0.045,0.22,0.025,0.39,0.32,0.21606004683435814,0.4536517470012457,0.95,0.49,1,ubi_pure,0.95,23
0.3551603657708431,0.74,0.04,0.22,0.02,0.435,0.285,0.2211559223777973,0.45626035582255026,0.95,0.555,1,ubi_pure,0.95,24
0.33929041847361063,0.765,0.055,0.18,0.01,0.395,0.36,0.20373561550534486,0.43173565372526723,0.95,0.455,1,ubi_pure,0.95,25
0.3414716752301166,0.765,0.02,0.215,0.03,0.405,0.33,0.20825176398772086,0.43187455805442965,0.95,0.445,1,ubi_pure,0.95,26
0.36070785595022004,0.72,0.05,0.23,0.01,0.41,0.3,0.2257885240269826,0.4645340530700844,0.95,0.495,1,ubi_pure,0.95,27
0.3291684014169671,0.805,0.025,0.17,0.035,0.39,0.38,0.19812654739315075,0.4245709229900767,0.95,0.415,1,ubi_pure,0.95,28
0.33386594036310363,0.8,0.015,0.185,0.02,0.41,0.37,0.1973841737538922,0.4345384858325451,0.95,0.42,1,ubi_pure,0.95,29
0.34062627303482623,0.75,0.03,0.22,0.03,0.395,0.325,0.2124171023429012,0.4641705895224477,0.95,0.48,1,ubi_pure,0.95,30
0.34355759333215524,0.78,0.04,0.18,0.02,0.43,0.33,0.20816430012512752,0.4359020915032441,0.95,0.46,1,ubi_pure,0.95,31
0.35455828123280625,0.74,0.06,0.2,0.02,0.4,0.32,0.22253367991224146,0.47514294868215656,0.95,0.51,1,ubi_pure,0.95,32
0.33882274776877586,0.76,0.025,0.215,0.045,0.42,0.295,0.2109403149837162,0.44125608338835565,0.95,0.46,1,ubi_pure,0.95,33
0.3515840258931819,0.74,0.035,0.225,0.005,0.4,0.335,0.21864130824614492,0.46631617507307516,0.95,0.49,1,ubi_pure,0.95,34
0.33940392073789866,0.755,0.025,0.22,0.015,0.39,0.35,0.2067454866949524,0.4446139582362613,0.95,0.44,1,ubi_pure,0.95,35
0.3418981316707768,0.77,0.03,0.2,0.01,0.405,0.355,0.196806233752566,0.4234990461816757,0.95,0.435,1,ubi_pure,0.95,36
0.34708617947580506,0.74,0.06,0.2,0.04,0.37,0.33,0.2133837080201034,0.46524623077292804,0.95,0.455,1,ubi_pure,0.95,37
0.35442741871867106,0.74,0.03,0.23,0.0,0.425,0.315,0.22036282680629085,0.45636172360451854,0.95,0.49,1,ubi_pure,0.95,38
0.3322204172621588,0.77,0.04,0.19,0.07,0.365,0.335,0.1936894327821322,0.4133054021973166,0.95,0.44,1,ubi_pure,0.95,39
0.33163196946484547,0.76,0.035,0.205,0.035,0.32,0.405,0.1947890812853165,0.43757049792611896,0.95,0.405,1,ubi_pure,0.95,40
0.3458186614318579,0.725,0.04,0.235,0.035,0.385,0.305,0.20779463564582873,0.4278373055135332,0.95,0.475,1,ubi_pure,0.95,41
0.3600286919093874,0.695,0.065,0.24,0.01,0.375,0.31,0.21580432406526068,0.4402696907872783,0.95,0.495,0,ubi_pure,0.95,42
0.3398918720137422,0.74,0.025,0.235,0.02,0.38,0.34,0.20690901261313038,0.44772364927081637,0.95,0.455,1,ubi_pure,0.95,43
0.341657593830338,0.775,0.055,0.17,0.02,0.39,0.365,0.20899538292190328,0.4424958058928564,0.95,0.45,1,ubi_pure,0.95,44
0.3468954308418499,0.745,0.025,0.23,0.015,0.425,0.305,0.21255231751201678,0.44778848088448453,0.95,0.475,1,ubi_pure,0.95,45
0.3484379795020097,0.7,0.025,0.275,0.03,0.375,0.295,0.21349669719871942,0.4278577400808116,0.95,0.485,0,ubi_pure,0.95,46
0.35236440619451215,0.78,0.035,0.185,0.02,0.49,0.27,0.21691434436727303,0.4594745868418449,0.95,0.47,1,ubi_pure,0.95,47
0.3604537942842405,0.705,0.075,0.22,0.035,0.38,0.29,0.22872755001436315,0.4672361649032783,0.95,0.47,1,ubi_pure,0.95,48
0.3663166998704238,0.7,0.06,0.24,0.01,0.42,0.27,0.2358874773378561,0.48009547827000815,0.95,0.555,0,ubi_pure,0.95,49
0.3423500178499581,0.75,0.055,0.195,0.015,0.325,0.41,0.21432335622669726,0.45355411831694625,0.95,0.425,1,ubi_pure,0.95,50
0.3488436910263809,0.73,0.05,0.22,0.02,0.39,0.32,0.21450505022965835,0.4466317406579657,0.95,0.485,1,ubi_pure,0.95,51
0.34847724533303676,0.77,0.035,0.195,0.035,0.435,0.3,0.2071766613099254,0.43341200257901347,0.95,0.505,1,ubi_pure,0.95,52
0.3464788153496795,0.775,0.045,0.18,0.035,0.43,0.31,0.22461144664138558,0.4765686415756099,0.95,0.51,1,ubi_pure,0.95,53
0.3667211830946397,0.7,0.06,0.24,0.015,0.42,0.265,0.23336268569971985,0.4719239925973156,0.95,0.54,0,ubi_pure,0.95,54
0.348732719553466,0.785,0.035,0.18,0.01,0.45,0.325,0.2108144097501713,0.43789048030938665,0.95,0.485,1,ubi_pure,0.95,55
0.3470185409409193,0.745,0.045,0.21,0.025,0.385,0.335,0.20963831942946662,0.4580676755042819,0.95,0.465,1,ubi_pure,0.95,56
0.35863678322083264,0.685,0.035,0.28,0.025,0.38,0.28,0.21567406846779805,0.4491329365557453,0.95,0.545,0,ubi_pure,0.95,57
0.35044197378256287,0.74,0.04,0.22,0.025,0.405,0.31,0.22189164247392335,0.4779430152905968,0.95,0.5,1,ubi_pure,0.95,58
0.35979806648323814,0.74,0.09,0.17,0.015,0.42,0.305,0.22577980943499626,0.4711115564190539,0.95,0.48,1,ubi_pure,0.95,59
