horizon,scenario,post_labor,run_id,sink_index,meaning_index
80,baseline,0.5,0,0.31,0.4844921438052882
120,baseline,0.5,0,0.25,0.49692467318640865
160,baseline,0.5,0,0.27,0.4923923870867581
240,baseline,0.5,0,0.285,0.49695976854136636
80,baseline,0.5,1,0.285,0.4911537696480883
120,baseline,0.5,1,0.205,0.5201066457176933
160,baseline,0.5,1,0.285,0.48443239591417864
240,baseline,0.5,1,0.335,0.4870671246203699
80,baseline,0.5,2,0.315,0.49206096373501196
120,baseline,0.5,2,0.265,0.49842781137583864
160,baseline,0.5,2,0.265,0.5017827234267113
240,baseline,0.5,2,0.27,0.48980446268995864
80,baseline,0.5,3,0.31,0.492380307071534
120,baseline,0.5,3,0.26,0.5035585023317336
160,baseline,0.5,3,0.31,0.4924698301714042
240,baseline,0.5,3,0.26,0.5030241781641593
80,baseline,0.5,4,0.305,0.48992744471572197
120,baseline,0.5,4,0.34,0.48507561111789793
160,baseline,0.5,4,0.35,0.4853546645037527
240,baseline,0.5,4,0.31,0.4781231353356861
80,baseline,0.5,5,0.265,0.5073121881622875
120,baseline,0.5,5,0.29,0.494650934086863
160,baseline,0.5,5,0.27,0.49290453481642066
240,baseline,0.5,5,0.295,0.4929805283216197
80,baseline,0.5,6,0.285,0.48883557857018617
120,baseline,0.5,6,0.295,0.49830502275908345
160,baseline,0.5,6,0.315,0.485383519690133
240,baseline,0.5,6,0.31,0.4915850533043323
80,baseline,0.5,7,0.315,0.49649013147114907
120,baseline,0.5,7,0.325,0.4899047982219366
160,baseline,0.5,7,0.3,0.49128941762367506
240,baseline,0.5,7,0.34,0.5013532848241152
80,baseline,0.5,8,0.31,0.4870380440773733
120,baseline,0.5,8,0.29,0.49133567822136526
160,baseline,0.5,8,0.315,0.49057040562178583
240,baseline,0.5,8,0.27,0.49275460967493984
80,baseline,0.5,9,0.305,0.504756294035729
120,baseline,0.5,9,0.34,0.4823283401784402
160,baseline,0.5,9,0.26,0.5044588247124838
240,baseline,0.5,9,0.34,0.4793411533080017
80,baseline,0.5,10,0.305,0.4846030106511448
120,baseline,0.5,10,0.3,0.48929479677373444
160,baseline,0.5,10,0.25,0.5039314719946898
240,baseline,0.5,10,0.205,0.4993817827863921
80,baseline,0.5,11,0.305,0.4937805619155171
120,baseline,0.5,11,0.26,0.4976363908121465
160,baseline,0.5,11,0.235,0.5101443616052876
240,baseline,0.5,11,0.295,0.487799529853757
80,baseline,0.5,12,0.32,0.4839173100557768
120,baseline,0.5,12,0.34,0.47880709541565286
160,baseline,0.5,12,0.355,0.47776231899822996
240,baseline,0.5,12,0.24,0.5109663066618502
80,baseline,0.5,13,0.255,0.5118853443349195
120,baseline,0.5,13,0.24,0.500550930955483
160,baseline,0.5,13,0.31,0.49140830024287624
240,baseline,0.5,13,0.305,0.48010544915177195
80,baseline,0.5,14,0.29,0.49171975541472024
120,baseline,0.5,14,0.31,0.49047613314706046
160,baseline,0.5,14,0.365,0.4889275004718225
240,baseline,0.5,14,0.305,0.492330525910301
80,baseline,0.5,15,0.305,0.4945876703549284
120,baseline,0.5,15,0.34,0.48284461015504326
160,baseline,0.5,15,0.335,0.47604943908666464
240,baseline,0.5,15,0.265,0.500792565885016
