speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,baseline,15,10,0,0.665,0.37600387544026986,0.95
rapid,baseline,25,20,0,0.76,0.3401794802737265,0.95
rapid,baseline,45,40,0,0.775,0.3382092451035785,0.95
rapid,baseline,15,10,1,0.645,0.38350189104442356,0.95
rapid,baseline,25,20,1,0.73,0.34758977955422343,0.95
rapid,baseline,45,40,1,0.81,0.3332944931446881,0.95
rapid,baseline,15,10,2,0.665,0.37429635226313535,0.95
rapid,baseline,25,20,2,0.66,0.36442136453992885,0.95
rapid,baseline,45,40,2,0.8,0.3347375064571602,0.95
rapid,baseline,15,10,3,0.68,0.3748912848681297,0.95
rapid,baseline,25,20,3,0.705,0.3614512739838168,0.95
rapid,baseline,45,40,3,0.815,0.32361699189631893,0.95
rapid,baseline,15,10,4,0.59,0.38492351560392973,0.95
rapid,baseline,25,20,4,0.765,0.345730848486066,0.95
rapid,baseline,45,40,4,0.82,0.3190967826681382,0.95
rapid,baseline,15,10,5,0.555,0.4008357046018382,0.95
rapid,baseline,25,20,5,0.755,0.3531024295405878,0.95
rapid,baseline,45,40,5,0.785,0.3276797433366659,0.95
rapid,baseline,15,10,6,0.61,0.37731384818577834,0.95
rapid,baseline,25,20,6,0.7,0.34799066701096154,0.95
rapid,baseline,45,40,6,0.8,0.331006391276796,0.95
rapid,baseline,15,10,7,0.58,0.4011099323557053,0.95
rapid,baseline,25,20,7,0.765,0.3444161141141873,0.95
rapid,baseline,45,40,7,0.805,0.32559820341012846,0.95
rapid,baseline,15,10,8,0.725,0.3670121144323724,0.95
rapid,baseline,25,20,8,0.745,0.3425559702479255,0.95
rapid,baseline,45,40,8,0.79,0.33582624790957416,0.95
rapid,baseline,15,10,9,0.655,0.370976396456645,0.95
rapid,baseline,25,20,9,0.765,0.3310913688479065,0.95
rapid,baseline,45,40,9,0.8,0.32179281508437785,0.95
rapid,baseline,15,10,10,0.665,0.3754132910451006,0.95
rapid,baseline,25,20,10,0.745,0.34659513843472595,0.95
rapid,baseline,45,40,10,0.77,0.34321571271625406,0.95
rapid,baseline,15,10,11,0.575,0.3943223806857494,0.95
rapid,baseline,25,20,11,0.765,0.35290855658568326,0.95
rapid,baseline,45,40,11,0.76,0.33666018739301057,0.95
rapid,baseline,15,10,12,0.665,0.3739192653150149,0.95
rapid,baseline,25,20,12,0.77,0.33739523892168044,0.95
rapid,baseline,45,40,12,0.83,0.330141504794001,0.95
rapid,baseline,15,10,13,0.695,0.38414367906918684,0.95
rapid,baseline,25,20,13,0.765,0.34162066264699203,0.95
rapid,baseline,45,40,13,0.815,0.31984544202276405,0.95
rapid,baseline,15,10,14,0.58,0.39162269754982354,0.95
rapid,baseline,25,20,14,0.685,0.3531173194200815,0.95
rapid,baseline,45,40,14,0.745,0.3425967757768547,0.95
rapid,baseline,15,10,15,0.675,0.3758924432005786,0.95
rapid,baseline,25,20,15,0.74,0.34760913147853884,0.95
rapid,baseline,45,40,15,0.745,0.3317585722957945,0.95
rapid,baseline,15,10,16,0.68,0.3721277884184884,0.95
rapid,baseline,25,20,16,0.735,0.34303457412680344,0.95
rapid,baseline,45,40,16,0.79,0.3240967062178624,0.95
rapid,baseline,15,10,17,0.535,0.39953777896561177,0.95
rapid,baseline,25,20,17,0.73,0.3568576675691169,0.95
rapid,baseline,45,40,17,0.815,0.3263687590498053,0.95
rapid,baseline,15,10,18,0.665,0.3730788582507283,0.95
rapid,baseline,25,20,18,0.795,0.33705174422056644,0.95
rapid,baseline,45,40,18,0.765,0.33563689021787313,0.95
rapid,baseline,15,10,19,0.705,0.3732713460019302,0.95
rapid,baseline,25,20,19,0.75,0.34124856247217505,0.95
rapid,baseline,45,40,19,0.805,0.329948923948605,0.95
rapid,baseline,15,10,20,0.67,0.37900261682969083,0.95
rapid,baseline,25,20,20,0.76,0.344906005833402,0.95
rapid,baseline,45,40,20,0.79,0.33872697823982706,0.95
rapid,baseline,15,10,21,0.66,0.37833518449514103,0.95
rapid,baseline,25,20,21,0.775,0.35042143182290586,0.95
rapid,baseline,45,40,21,0.79,0.3408529429000244,0.95
rapid,baseline,15,10,22,0.635,0.38201308973769554,0.95
rapid,baseline,25,20,22,0.705,0.35313491695037913,0.95
rapid,baseline,45,40,22,0.79,0.335306799265461,0.95
rapid,baseline,15,10,23,0.61,0.3916515371694766,0.95
rapid,baseline,25,20,23,0.73,0.3611070531328213,0.95
rapid,baseline,45,40,23,0.73,0.3438142251788943,0.95
rapid,baseline,15,10,24,0.655,0.37428321818866545,0.95
rapid,baseline,25,20,24,0.77,0.3411741987968774,0.95
rapid,baseline,45,40,24,0.84,0.32093820156356484,0.95
rapid,baseline,15,10,25,0.555,0.4031274274594162,0.95
rapid,baseline,25,20,25,0.665,0.3664659407828373,0.95
rapid,baseline,45,40,25,0.8,0.3313368245135594,0.95
rapid,baseline,15,10,26,0.655,0.38558650911495734,0.95
rapid,baseline,25,20,26,0.695,0.3634875087263377,0.95
rapid,baseline,45,40,26,0.74,0.3338117382305727,0.95
rapid,baseline,15,10,27,0.66,0.3733604556052805,0.95
rapid,baseline,25,20,27,0.775,0.3360131020988609,0.95
rapid,baseline,45,40,27,0.81,0.31770565251509797,0.95
rapid,baseline,15,10,28,0.63,0.3850981371309217,0.95
rapid,baseline,25,20,28,0.7,0.34901197929588584,0.95
rapid,baseline,45,40,28,0.785,0.32702111614939794,0.95
rapid,baseline,15,10,29,0.65,0.37513201367670407,0.95
rapid,baseline,25,20,29,0.77,0.34261740166656923,0.95
rapid,baseline,45,40,29,0.745,0.3460141110274935,0.95
rapid,baseline,15,10,30,0.605,0.3851572156089301,0.95
rapid,baseline,25,20,30,0.795,0.3450927841886727,0.95
rapid,baseline,45,40,30,0.8,0.3340871189339204,0.95
rapid,baseline,15,10,31,0.695,0.3676906516887658,0.95
rapid,baseline,25,20,31,0.775,0.3474390649348825,0.95
rapid,baseline,45,40,31,0.81,0.3294782022864288,0.95
rapid,baseline,15,10,32,0.655,0.3731300895072714,0.95
rapid,baseline,25,20,32,0.76,0.34116596425218754,0.95
rapid,baseline,45,40,32,0.765,0.33678369062635044,0.95
rapid,baseline,15,10,33,0.645,0.38824906331263664,0.95
rapid,baseline,25,20,33,0.79,0.3506639738934279,0.95
rapid,baseline,45,40,33,0.83,0.32131082192962424,0.95
rapid,baseline,15,10,34,0.615,0.3847393496537219,0.95
rapid,baseline,25,20,34,0.635,0.367236945519296,0.95
rapid,baseline,45,40,34,0.81,0.3287619721247211,0.95
rapid,baseline,15,10,35,0.65,0.37998049563158465,0.95
rapid,baseline,25,20,35,0.67,0.3676369550212029,0.95
rapid,baseline,45,40,35,0.82,0.32678416903766716,0.95
