UserId,Reputation,AccountAgeDays,PreAnsCount,LastAnswerAfter,PostAnsTotal,Ans_0_3,Ans_3_6,Ans_6_12
"202","8375","5232","16","","0","0","0","0"
"548","2465","5229","5","2023-05-22 18:55:52","1","0","1","0"
"1013","7203","5224","6","2024-01-11 14:32:35","4","2","1","1"
"1024","2416","5224","45","2023-04-09 00:03:06","5","5","0","0"
"1346","3246","5221","5","2023-04-11 22:13:05","2","2","0","0"
"2266","6278","5214","6","2023-08-29 12:01:13","1","0","0","1"
"2420","5006","5213","7","2023-03-06 18:13:45","1","1","0","0"
"2785","5368","5210","8","2023-10-16 21:42:20","2","1","0","1"
"3121","8609","5209","5","","0","0","0","0"
"3234","3241","5208","16","","0","0","0","0"
"4322","7158","5202","7","2024-01-20 18:05:13","2","0","1","1"
"4372","2843","5201","20","2023-04-19 06:20:36","2","2","0","0"
"4389","2664","5201","7","2023-11-30 15:30:38","2","1","0","1"
"6206","3220","5192","7","2023-11-10 20:52:02","15","9","3","3"
"6713","8153","5189","5","2023-02-26 14:55:26","1","1","0","0"
"7141","8442","5189","14","2023-04-12 20:09:16","1","1","0","0"
"7453","9660","5189","10","2023-04-28 19:51:11","2","2","0","0"
"8831","5887","5189","7","2023-11-08 12:26:10","4","1","0","3"
"10161","3284","5189","5","2023-11-28 20:31:13","5","1","3","1"
"10474","9648","5189","21","2023-05-09 16:28:53","5","4","1","0"
"10562","4789","5189","13","2023-09-24 09:23:25","1","0","0","1"
"11414","7056","5188","5","2023-08-28 23:06:13","1","0","0","1"
"11451","4223","5188","14","2023-07-07 14:53:28","1","0","1","0"
"11461","5981","5188","5","","0","0","0","0"
"12679","4294","5188","18","2023-08-29 11:41:11","2","0","1","1"
"13338","8196","5188","5","","0","0","0","0"
"13562","2681","5188","17","","0","0","0","0"
"13729","9044","5188","5","2023-02-28 14:35:29","1","1","0","0"
"14692","2931","5187","22","2023-06-10 23:00:30","1","0","1","0"
"15127","8740","5187","24","2024-01-15 07:34:52","7","1","3","3"
"15366","2644","5187","6","","0","0","0","0"
"15647","8414","5187","6","2023-12-13 08:43:29","1","0","0","1"
"17419","6199","5186","6","2023-10-02 18:37:20","2","0","1","1"
"17487","6953","5186","11","2023-12-11 10:47:41","11","4","5","2"
"18177","4004","5186","20","2024-01-31 18:19:13","18","6","4","8"
"18603","2920","5185","5","2024-01-22 02:40:21","2","0","0","2"
"18735","3971","5185","5","2023-05-24 23:21:02","1","0","1","0"
"19038","7369","5185","7","2023-10-09 21:40:03","7","1","3","3"
"19317","3635","5185","7","2023-10-22 18:53:50","15","10","1","4"
"19450","9751","5184","6","2023-09-30 18:23:31","1","0","0","1"
"19520","5813","5184","5","2023-09-17 13:53:10","2","0","0","2"
"19816","4131","5183","6","2024-01-23 00:09:49","1","0","0","1"
"19880","7840","5183","50","2024-01-07 23:59:00","23","8","5","10"
"20195","2530","5182","5","2023-04-18 14:46:22","2","2","0","0"
"20444","6116","5182","28","","0","0","0","0"
"22917","3312","5177","5","2023-09-29 14:57:24","2","0","1","1"
"23054","5906","5177","10","2023-05-05 07:45:31","7","6","1","0"
"23607","7743","5175","6","2023-05-11 07:08:40","1","0","1","0"
"23850","9678","5174","5","","0","0","0","0"
"24447","6294","5172","24","2024-01-31 15:59:10","10","1","2","7"
"25406","4715","5168","5","","0","0","0","0"
"25466","2819","5168","15","2023-10-03 07:07:21","9","5","0","4"
"26877","6868","5164","5","2024-01-22 17:45:47","4","2","0","2"
"27922","5594","5160","7","","0","0","0","0"
"28106","4314","5159","5","","0","0","0","0"
"28190","8353","5159","6","2024-01-03 16:56:00","9","3","0","6"
"29467","7939","5154","10","2023-04-18 03:46:53","7","7","0","0"
"29470","9558","5154","58","2023-09-26 02:40:06","38","14","13","11"
"30383","6371","5152","16","2024-01-05 20:15:06","6","2","0","4"
"30933","7496","5151","8","2023-07-07 15:48:18","2","0","2","0"
"31045","3332","5150","5","2023-10-13 06:23:37","3","1","1","1"
"31319","3914","5150","5","","0","0","0","0"
"32352","5469","5145","31","2023-12-17 07:06:56","21","8","7","6"
"32458","8130","5145","5","2023-12-12 20:31:44","1","0","0","1"
"33905","4469","5139","17","2023-06-01 22:14:04","11","5","6","0"
"34170","9288","5139","7","","0","0","0","0"
"34369","3344","5139","5","2023-02-24 14:46:26","2","2","0","0"
"34989","7222","5137","19","2023-12-12 17:59:26","8","2","3","3"
"35323","2353","5136","6","2023-05-24 13:46:36","3","2","1","0"
"35696","8148","5135","5","","0","0","0","0"
"35812","6697","5135","9","2023-11-16 16:12:48","9","2","4","3"
"37083","2700","5131","8","","0","0","0","0"
"37706","4814","5129","5","2023-11-03 02:19:09","1","0","0","1"
"38729","4973","5125","6","2023-09-12 11:56:23","2","0","1","1"
"39296","4334","5123","31","2024-01-18 21:48:56","21","6","4","11"
"39827","6213","5122","22","","0","0","0","0"
"40952","7357","5117","10","2023-08-30 10:59:33","5","3","0","2"
"41169","8949","5117","16","2023-08-21 07:56:45","11","4","6","1"
"42580","4505","5111","12","","0","0","0","0"
