UserId,PostComments,PreComments,PostEdits
"1055","3","7","0"
"11958","0","0","0"
"15209","1","4","0"
"16845","26","15","0"
"19872","2","32","0"
"23914","1","2","0"
"25612","8","6","1"
"26843","0","6","0"
"26964","0","3","0"
"27195","0","4","0"
"27876","2","7","0"
"29249","3","16","0"
"30581","4","11","0"
"31090","5","7","0"
"33965","0","11","0"
"41347","0","1","0"
"42230","2","6","0"
"42552","67","98","3"
"52325","36","22","0"
"56682","1","0","0"
"57033","30","16","0"
"57864","6","12","0"
"59867","0","8","0"
"63696","9","132","1"
"70987","2","7","0"
"77200","0","4","0"
"79168","0","10","0"
"80772","6","18","0"
"84901","0","141","0"
"93277","5","13","0"
"93794","9","15","0"
"95014","40","33","0"
"95482","2","6","0"
"95985","0","3","0"
"99397","12","22","0"
"112544","0","3","0"
"112687","2","7","0"
"112736","0","5","0"
"115464","0","5","0"
"117430","0","6","0"
"119603","0","2","0"
"131005","17","10","1"
"133912","9","5","0"
"145725","8","12","0"
"146698","1","15","0"
"152221","6","24","0"
"153271","19","40","0"
"153463","0","27","0"
"155970","0","4","0"
"158787","7","35","0"
"160419","0","11","0"
"163059","1","20","0"
"167717","0","4","0"
"168589","1","47","0"
"169914","11","8","1"
"172525","0","2","0"
"172836","1","1","0"
"175546","0","9","0"
"176539","6","14","0"
"179037","10","11","0"
"183466","12","34","0"
"184405","0","28","0"
"186861","0","8","0"
"187421","1","10","0"
"192030","0","4","0"
"192263","1","31","0"
"194305","8","19","0"
"196033","0","6","0"
"196871","1","1","0"
"199400","22","26","1"
"203915","4","4","0"
"205983","25","18","0"
"208272","63","96","1"
"210623","0","606","0"
"213984","1","4","0"
"214526","28","24","0"
"214898","26","89","0"
"216695","6","15","0"
"217125","8","6","0"
"219649","0","4","0"
"224622","1","5","0"
"225199","0","7","0"
"226758","2","31","0"
"227110","8","8","0"
"227606","0","8","0"
"227785","19","38","0"
"228649","24","5","0"
"230062","1","0","0"
"232115","4","6","0"
"234789","0","0","0"
"234855","1","4","0"
"236152","5","8","0"
"240342","1","9","0"
"240963","1","10","0"
"243996","2","4","0"
"246702","0","5","0"
"247218","8","5","0"
"251542","5","3","0"
"251961","41","90","0"
"255613","2","13","0"
"259405","8","10","0"
"261708","21","96","1"
"262425","1","0","0"
"263879","13","6","0"
"264694","30","65","0"
"264745","0","13","0"
"265374","3","1","0"
"268764","0","0","0"
"268856","1","8","1"
"278762","6","39","0"
"279798","6","7","0"
"280724","0","14","0"
"281724","12","5","3"
"284651","1","6","0"
"289206","0","13","0"
"292792","0","12","0"
"292975","0","2","0"
"293083","0","2","0"
"293918","8","21","0"
"295279","1","1","0"
"297274","3","12","0"
"298468","0","2","0"
"299952","0","3","0"
"300978","19","29","0"
"301252","0","4","0"
"301474","0","27","0"
"301740","0","20","0"
"301757","9","16","0"
"306674","0","6","0"
"307133","2","11","0"
"310937","2","6","0"
"311060","5","5","0"
"313964","10","24","0"
"314565","7","9","0"
"314641","2","14","0"
"314780","1","3","0"
"316459","2","47","0"
"317103","2","5","0"
"320437","30","143","0"
"320646","2","7","1"
"321492","0","1","0"
"321629","29","65","0"
"321824","0","6","1"
"325617","0","10","0"
"328829","3","2","0"
"332503","1","4","0"
"337327","1","2","0"
"337554","1","9","0"
"339070","7","23","0"
"339772","13","33","0"
"343794","36","133","1"
"343836","5","2","0"
"343900","2","10","0"
"344574","0","4","0"
"345130","56","9","0"
"345258","45","50","0"
"345427","5","29","0"
"348185","2","3","0"
"350193","14","29","0"
"350270","1","75","0"
"350334","4","8","0"
"351726","5","6","0"
"352690","0","14","0"
"354420","7","16","0"
"354876","4","7","1"
"356239","1","25","1"
"357033","5","13","0"
"358574","5","33","0"
"361687","2","6","0"
"366486","0","3","0"
"369143","3","11","0"
"370213","0","2","0"
"374236","1","3","0"
"374642","2","57","0"
"375363","14","17","0"
"376904","0","7","0"
"379989","3","7","0"
"381031","10","22","0"
"381807","1","15","0"
"382655","2","4","0"
"383423","75","147","1"
"384857","3","7","0"
"386540","1","2","0"
"387198","4","18","0"
"388317","4","1","0"
"390600","0","2","0"
"391760","5","3","0"
"392061","10","1","0"
"392401","0","4","0"
"392895","2","6","0"
"399551","6","26","0"
"399940","6","10","0"
"400612","0","10","0"
"402723","13","29","0"
"403911","0","16","0"
"404459","21","5","0"
"410333","0","0","0"
"410939","35","84","0"
"411077","0","19","0"
"411611","1","3","0"
"411806","4","26","0"
"412954","7","3","0"
"412965","3","7","0"
"418145","18","5","0"
"420848","1","19","0"
"421243","8","7","1"
"423890","0","18","0"
"426832","6","18","1"
"426858","0","3","0"
"427925","0","33","0"
"428780","7","26","0"
"429853","2","27","0"
"430847","0","8","0"
"431502","0","5","0"
"432074","33","43","0"
"433714","4","13","0"
"434361","1","2","0"
"440791","5","14","0"
"443425","4","21","0"
"447137","0","10","0"
"447237","0","87","0"
"448979","1","2","0"
"449392","1","70","0"
"449460","1","1","0"
"450243","2","2","0"
"453238","0","11","0"
"456692","1","13","0"
"458561","19","52","0"
"463064","0","17","0"
"464152","1","2","0"
"464252","0","3","0"
"464431","3","6","0"
"465342","1","10","0"
"465732","0","18","0"
"468116","1","5","0"
"469322","9","13","0"
"470477","10","10","0"
"470530","58","40","0"
"472566","4","22","0"
"473471","0","31","0"
"476345","0","5","0"
"482036","5","16","0"
"482800","1","2","0"
"482901","3","61","28"
"485218","0","12","0"
"489090","0","0","0"
"492298","0","22","0"
"493272","2","11","0"
"493978","0","0","0"
"498190","5","25","0"
"498889","5","7","0"
"499915","14","12","0"
"500182","8","65","0"
"502999","0","19","0"
"503025","5","6","0"
"504807","0","24","0"
"506128","0","25","0"
"510087","0","4","0"
"511233","8","51","0"
"512686","10","15","0"
"521752","1","25","14"
"524355","30","22","0"
"530728","4","10","0"
"534182","15","17","0"
"534662","0","3","4"
"537107","0","7","0"
"539251","9","29","0"
"540756","0","16","0"
"542244","0","1","1"
"542564","0","0","0"
"549051","2","3","0"
"550464","19","11","0"
"551261","5","7","0"
"551744","14","17","0"
"556078","17","34","1"
"557270","1","6","0"
"557736","2","11","0"
"558120","4","20","0"
"559347","1","9","0"
"560476","4","4","0"
"560808","1","6","0"
"562359","0","52","0"
"563353","0","0","0"
"565633","6","7","0"
"567465","4","29","0"
"570220","0","150","0"
"571220","2","14","0"
"572981","1","5","0"
"579749","0","23","0"
"581285","12","4","0"
"581511","0","1","0"
"583616","0","6","0"
"586192","0","0","0"
"586256","0","8","0"
"593045","12","54","0"
"594006","6","10","1"
"594437","1","23","2"
"595266","0","1","0"
"595553","6","15","0"
"597189","0","4","0"
"598513","0","26","0"
"599535","5","21","2"
"603828","8","21","0"
"604656","4","15","0"
"605850","71","348","0"
"607230","4","4","1"
"607567","0","10","0"
"608397","2","3","0"
"611563","4","12","0"
"612163","0","17","0"
"615104","7","15","0"
"615119","5","20","3"
"615987","5","18","0"
"620140","1","25","0"
"622049","1","7","0"
"622122","4","14","0"
"623048","8","1","0"
"623541","5","21","0"
"624533","7","6","1"
"626664","8","15","0"
"626921","18","16","0"
"627794","0","7","0"
"628887","18","23","0"
"630530","15","17","1"
"632199","4","21","0"
"633925","0","78","0"
"639739","8","27","2"
"640180","6","23","0"
"641755","0","1","0"
"644186","1","6","0"
"644204","7","11","0"
"645431","10","16","0"
"645638","4","0","2"
"647151","10","17","0"
"654471","1","2","0"
"655472","0","4","0"
"656397","0","8","0"
"656708","0","5","0"
"659156","1","9","0"
"659818","1","1","0"
"662629","2","14","0"
"663853","12","13","0"
"664990","0","5","0"
"666583","4","88","0"
"668572","5","20","0"
"669210","0","58","0"
"669518","4","13","0"
"669647","0","7","0"
"673217","0","5","0"
"673707","0","58","1"
"676883","1","18","0"
"677210","1","9","0"
"678611","5","18","0"
"685046","11","10","0"
"686023","13","23","0"
"688926","0","0","0"
"689242","31","135","1"
"694457","0","10","0"
"694740","8","21","0"
"695824","3","35","0"
"696037","7","14","0"
"697213","2","16","0"
"697363","0","10","0"
"697576","0","8","0"
"697964","5","14","0"
"699971","3","2","0"
"700771","0","12","0"
"709975","1","4","0"
"710817","1","5","0"
"714905","0","5","0"
"714974","0","15","0"
"719809","43","91","1"
"721600","27","19","5"
"721611","0","2","0"
"722087","0","6","2"
"724314","0","3","0"
"724816","1","1","0"
"725126","0","31","0"
"725596","0","6","0"
"731938","1","10","0"
"734134","1","15","0"
"735398","6","27","1"
"736922","11","18","0"
"738895","2","7","0"
"741318","1","3","0"
"741711","5","7","0"
"742192","0","0","0"
"742609","27","13","0"
"742648","2","32","0"
"748891","13","25","0"
"753998","0","43","0"
"754798","2","15","0"
"756626","1","10","3"
"757201","24","32","0"
"761265","1","8","0"
"763875","0","4","0"
"764312","3","9","5"
"764576","15","9","0"
"766684","3","66","0"
"766955","0","5","0"
"768619","8","105","0"
"769726","1","12","0"
"772984","1","3","0"
"776988","9","30","0"
"777522","1122","734","4"
"778587","19","41","0"
"779084","2","22","0"
"779574","0","1","0"
"783662","0","9","0"
"785365","0","6","0"
"788448","3","28","0"
"789096","0","0","0"
"791600","0","27","0"
"795603","3","3","0"
"795827","4","8","0"
"797163","0","0","0"
"799346","0","25","0"
"799936","6","7","0"
"801899","22","13","0"
"802494","7","31","0"
"803978","0","16","2"
"804894","6","8","0"
"808398","6","25","0"
"809584","3","20","0"
"809984","2","1","0"
"810019","0","1","0"
"810268","8","2","0"
"811556","0","8","0"
"812377","6","11","1"
"812943","0","12","0"
"813946","23","23","1"
"814172","2","58","0"
"814299","0","1","0"
"818090","4","3","0"
"818266","2","2","0"
"818722","1","8","0"
"820321","6","20","0"
"820406","13","12","0"
"821989","39","17","0"
"822461","1","5","0"
"827472","11","8","0"
"828709","16","35","2"
"830293","1","5","0"
"831211","4","137","1"
"832490","111","84","0"
"833399","10","35","0"
"833954","0","6","0"
"834117","0","7","0"
"835073","6","34","0"
"836137","6","12","1"
"836376","3","16","0"
"836723","6","24","0"
"839497","12","43","0"
"840821","5","33","0"
"846548","0","4","0"
"846769","0","3","0"
"851013","1","8","0"
"858684","0","5","0"
"860715","10","7","0"
"860934","0","29","0"
"863133","2","5","0"
"864299","6","29","0"
"868337","0","3","0"
"869134","5","0","0"
"871947","0","23","0"
"873372","3","5","0"
"874880","0","0","0"
"875176","0","5","0"
"875343","0","30","0"
"876237","5","12","0"
"876595","8","23","0"
"876743","1","9","0"
"877129","3","17","0"
"878272","0","27","0"
"878444","6","3","0"
"885541","2","4","0"
"885694","8","16","0"
"887804","6","30","0"
"887947","19","15","0"
"890062","7","16","0"
"890097","0","5","0"
"891203","13","53","0"
"891919","9","150","0"
"892770","15","15","0"
"893413","0","15","0"
"893790","0","12","0"
"895007","6","14","0"
"895615","7","5","0"
"898154","15","9","0"
"901083","7","24","1"
"901102","3","1","0"
"901410","0","43","0"
"902102","2","1","0"
"903966","18","36","1"
"904963","1","191","0"
"905006","1","17","0"
"905650","4","6","0"
"907675","3","7","0"
"908316","9","5","6"
"909800","3","0","0"
"910650","0","4","0"
"910654","0","11","0"
"912309","1","7","0"
"913747","6","23","0"
"914760","0","2","0"
"915636","5","39","0"
"915869","0","10","0"
"916995","6","16","0"
"918860","1","8","0"
"920319","9","7","0"
"921570","0","5","0"
"921859","12","5","0"
"923493","0","0","0"
"925775","2","11","0"
"926918","12","45","0"
"927514","46","43","0"
"929251","2","3","0"
"929646","3","8","0"
"929861","1","5","0"
"930925","2","5","0"
"933110","2","4","0"
"933575","1","2","1"
"934373","3","6","0"
"935322","0","5","0"
"938190","0","0","0"
"938530","0","22","0"
"938829","0","1","0"
"939484","2","11","1"
"941770","8","18","0"
"942179","15","27","1"
"943087","8","8","5"
"944174","0","10","0"
"948719","1","4","0"
"948801","6","26","0"
"949258","3","4","0"
"951321","39","76","0"
"952932","5","6","0"
"955444","17","22","0"
"955719","12","13","0"
"958254","0","4","0"
"962391","6","19","0"
"963604","1","35","0"
"964514","0","5","0"
"964804","0","1","0"
"965852","14","10","0"
"966707","0","27","0"
"967151","6","3","0"
"967162","0","40","0"
"967770","0","2","0"
"968570","0","10","0"
"970115","1","16","0"
"970174","8","11","0"
"971566","1","5","0"
"972235","0","70","0"
"972651","0","73","0"
"976509","3","15","0"
"979591","0","10","0"
"979673","0","3","0"
"980270","12","32","0"
"982041","0","6","0"
"984444","1","4","0"
