UserId,Reputation,AnsCount,CompetenceProxy,StatusProxy,RelCommentRatio,RelEditsOthers
"1055","1046","12","0.5","0.25","0.5833333333333334","0"
"11958","858","6","0.5","0","0","0"
"15209","1635","7","0.714285","0.285714","0.5714285714285714","0"
"16845","1276","8","0.875","0.125","1.875","0"
"19872","907","7","0.428571","0.142857","4.571428571428571","7"
"23914","959","8","0.75","0.125","0.25","0"
"25612","1835","9","0.222222","0.444444","0.6666666666666666","0"
"26843","1360","7","0.714285","0","0.8571428571428571","0"
"26964","712","5","0.8","0","0.6","0"
"27195","1117","5","0.2","0.4","0.8","0"
"27876","818","5","0.2","0.4","1.4","0"
"29249","1171","6","0.166666","0.5","2.6666666666666665","2"
"30581","1763","9","0.444444","0.111111","1.2222222222222223","0"
"31090","1069","7","0.285714","0.285714","1","0"
"33965","1974","8","0.625","0.125","1.375","0"
"41347","503","5","0.6","0.2","0.2","0"
"42230","1286","6","0.5","0","1","0"
"42552","1604","6","0.166666","0.833333","16.333333333333332","0"
"52325","1326","39","0.76923","0","0.5641025641025641","0"
"56682","1965","5","1","0","0","0"
"57033","1659","6","0","0.166666","2.6666666666666665","0"
"57864","1645","17","0.588235","0.117647","0.7058823529411765","0"
"59867","1365","8","0.5","0.125","1","0"
"63696","1708","41","0.341463","0.365853","3.2195121951219514","12"
"70987","1462","8","0.875","0","0.875","0"
"77200","1302","10","0.2","0.2","0.4","0"
"79168","1466","6","0.5","0.333333","1.6666666666666667","1"
"80772","1236","9","0.222222","0.222222","2","0"
"84901","1531","46","0.5","0.130434","3.0652173913043477","0"
"93277","1684","5","0.4","0.6","2.6","0"
"93794","1365","13","0.692307","0.076923","1.1538461538461537","1"
"95014","1979","59","0.457627","0.169491","0.559322033898305","0"
"95482","619","5","0.2","0.4","1.2","0"
"95985","909","9","0.777777","0.111111","0.3333333333333333","0"
"99397","1127","6","0.666666","0.166666","3.6666666666666665","0"
"112544","1898","7","0.285714","0.142857","0.42857142857142855","0"
"112687","1556","7","0.428571","0.285714","1","0"
"112736","1000","5","1","0","1","1"
"115464","1528","9","0.777777","0.111111","0.5555555555555556","1"
"117430","1287","5","1","0","1.2","0"
"119603","1637","5","0.8","0","0.4","0"
"131005","1017","5","0.2","0.4","2","0"
"133912","1742","10","0.5","0.1","0.5","0"
"145725","1776","13","0.461538","0.307692","0.9230769230769231","1"
"146698","1688","6","0.333333","0.5","2.5","0"
"152221","894","5","0","0.6","4.8","0"
"153271","857","10","0.3","0.5","4","1"
"153463","1844","26","0.884615","0.038461","1.0384615384615385","1"
"155970","1631","7","0.428571","0.571428","0.5714285714285714","0"
"158787","1802","12","0.416666","0.083333","2.9166666666666665","0"
"160419","1288","9","0.555555","0.444444","1.2222222222222223","1"
"163059","972","10","0.8","0","2","0"
"167717","1837","5","0.4","0.2","0.8","0"
"168589","1248","22","0.5","0.136363","2.1363636363636362","2"
"169914","911","9","0.555555","0.222222","0.8888888888888888","0"
"172525","1957","5","0.4","0.4","0.4","0"
"172836","1354","5","1","0","0.2","0"
"175546","1098","8","0.5","0.125","1.125","1"
"176539","823","7","0.571428","0.142857","2","1"
"179037","1841","5","0","0.6","2.2","0"
"183466","1178","8","0.375","0.375","4.25","0"
"184405","928","24","0.541666","0.208333","1.1666666666666667","0"
"186861","1758","7","0.142857","0.142857","1.1428571428571428","1"
"187421","1383","10","0.8","0","1","0"
"192030","1058","5","0.2","0.6","0.8","0"
"192263","551","5","0.6","0","6.2","4"
"194305","901","5","0.4","0.6","3.8","0"
